i r tft rl num fbm tom
141.0 0.0000 0.0000 0.1066 0.0001 0.4309 0.4624
142.0 0.0000 0.0000 0.1059 0.0001 0.4311 0.4629
143.0 0.0000 0.0000 0.1053 0.0001 0.4313 0.4633
144.0 0.0000 0.0000 0.1046 0.0001 0.4315 0.4638
145.0 0.0000 0.0000 0.1039 0.0001 0.4317 0.4643
146.0 0.0000 0.0000 0.1033 0.0001 0.4319 0.4647
147.0 0.0000 0.0000 0.1026 0.0001 0.4321 0.4652
148.0 0.0000 0.0000 0.1020 0.0001 0.4323 0.4657
149.0 0.0000 0.0000 0.1013 0.0001 0.4325 0.4661
150.0 0.0000 0.0000 0.1007 0.0001 0.4327 0.4666
151.0 0.0000 0.0000 0.1001 0.0001 0.4329 0.4670
152.0 0.0000 0.0000 0.0994 0.0000 0.4330 0.4675
153.0 0.0000 0.0000 0.0988 0.0000 0.4332 0.4679
154.0 0.0000 0.0000 0.0982 0.0000 0.4334 0.4684
155.0 0.0000 0.0000 0.0976 0.0000 0.4336 0.4688
156.0 0.0000 0.0000 0.0970 0.0000 0.4337 0.4693
157.0 0.0000 0.0000 0.0964 0.0000 0.4339 0.4697
158.0 0.0000 0.0000 0.0958 0.0000 0.4341 0.4701
159.0 0.0000 0.0000 0.0952 0.0000 0.4342 0.4706
160.0 0.0000 0.0000 0.0946 0.0000 0.4344 0.4710
161.0 0.0000 0.0000 0.0940 0.0000 0.4346 0.4714
162.0 0.0000 0.0000 0.0934 0.0000 0.4347 0.4719
163.0 0.0000 0.0000 0.0928 0.0000 0.4349 0.4723
164.0 0.0000 0.0000 0.0922 0.0000 0.4350 0.4727
165.0 0.0000 0.0000 0.0917 0.0000 0.4352 0.4731
166.0 0.0000 0.0000 0.0911 0.0000 0.4353 0.4736
167.0 0.0000 0.0000 0.0905 0.0000 0.4355 0.4740
168.0 0.0000 0.0000 0.0900 0.0000 0.4356 0.4744
169.0 0.0000 0.0000 0.0894 0.0000 0.4357 0.4748
170.0 0.0000 0.0000 0.0889 0.0000 0.4359 0.4752
171.0 0.0000 0.0000 0.0883 0.0000 0.4360 0.4756
172.0 0.0000 0.0000 0.0878 0.0000 0.4362 0.4760
173.0 0.0000 0.0000 0.0873 0.0000 0.4363 0.4765
174.0 0.0000 0.0000 0.0867 0.0000 0.4364 0.4769
175.0 0.0000 0.0000 0.0862 0.0000 0.4365 0.4773
176.0 0.0000 0.0000 0.0857 0.0000 0.4367 0.4777
177.0 0.0000 0.0000 0.0851 0.0000 0.4368 0.4781
178.0 0.0000 0.0000 0.0846 0.0000 0.4369 0.4785
179.0 0.0000 0.0000 0.0841 0.0000 0.4370 0.4789
180.0 0.0000 0.0000 0.0836 0.0000 0.4371 0.4792
181.0 0.0000 0.0000 0.0831 0.0000 0.4373 0.4796
182.0 0.0000 0.0000 0.0826 0.0000 0.4374 0.4800
183.0 0.0000 0.0000 0.0821 0.0000 0.4375 0.4804
184.0 0.0000 0.0000 0.0816 0.0000 0.4376 0.4808
185.0 0.0000 0.0000 0.0811 0.0000 0.4377 0.4812
186.0 0.0000 0.0000 0.0806 0.0000 0.4378 0.4816
187.0 0.0000 0.0000 0.0801 0.0000 0.4379 0.4820
188.0 0.0000 0.0000 0.0796 0.0000 0.4380 0.4823
189.0 0.0000 0.0000 0.0791 0.0000 0.4381 0.4827
190.0 0.0000 0.0000 0.0787 0.0000 0.4382 0.4831
191.0 0.0000 0.0000 0.0782 0.0000 0.4383 0.4835
192.0 0.0000 0.0000 0.0777 0.0000 0.4384 0.4839
193.0 0.0000 0.0000 0.0773 0.0000 0.4385 0.4842
194.0 0.0000 0.0000 0.0768 0.0000 0.4386 0.4846
