i r tft rl num fbm tom
143.0 0.0000 0.0000 0.0000 0.0000 0.2184 0.7816
144.0 0.0000 0.0000 0.0000 0.0000 0.2172 0.7828
145.0 0.0000 0.0000 0.0000 0.0000 0.2159 0.7841
146.0 0.0000 0.0000 0.0000 0.0000 0.2147 0.7853
147.0 0.0000 0.0000 0.0000 0.0000 0.2134 0.7866
148.0 0.0000 0.0000 0.0000 0.0000 0.2122 0.7878
149.0 0.0000 0.0000 0.0000 0.0000 0.2110 0.7890
150.0 0.0000 0.0000 0.0000 0.0000 0.2097 0.7903
151.0 0.0000 0.0000 0.0000 0.0000 0.2085 0.7915
152.0 0.0000 0.0000 0.0000 0.0000 0.2073 0.7927
153.0 0.0000 0.0000 0.0000 0.0000 0.2061 0.7939
154.0 0.0000 0.0000 0.0000 0.0000 0.2049 0.7951
155.0 0.0000 0.0000 0.0000 0.0000 0.2037 0.7963
156.0 0.0000 0.0000 0.0000 0.0000 0.2025 0.7975
157.0 0.0000 0.0000 0.0000 0.0000 0.2013 0.7987
158.0 0.0000 0.0000 0.0000 0.0000 0.2001 0.7999
159.0 0.0000 0.0000 0.0000 0.0000 0.1989 0.8011
160.0 0.0000 0.0000 0.0000 0.0000 0.1977 0.8023
161.0 0.0000 0.0000 0.0000 0.0000 0.1966 0.8034
162.0 0.0000 0.0000 0.0000 0.0000 0.1954 0.8046
163.0 0.0000 0.0000 0.0000 0.0000 0.1942 0.8058
164.0 0.0000 0.0000 0.0000 0.0000 0.1931 0.8069
165.0 0.0000 0.0000 0.0000 0.0000 0.1919 0.8081
166.0 0.0000 0.0000 0.0000 0.0000 0.1908 0.8092
167.0 0.0000 0.0000 0.0000 0.0000 0.1896 0.8104
168.0 0.0000 0.0000 0.0000 0.0000 0.1885 0.8115
169.0 0.0000 0.0000 0.0000 0.0000 0.1873 0.8127
170.0 0.0000 0.0000 0.0000 0.0000 0.1862 0.8138
171.0 0.0000 0.0000 0.0000 0.0000 0.1851 0.8149
172.0 0.0000 0.0000 0.0000 0.0000 0.1839 0.8161
173.0 0.0000 0.0000 0.0000 0.0000 0.1828 0.8172
174.0 0.0000 0.0000 0.0000 0.0000 0.1817 0.8183
175.0 0.0000 0.0000 0.0000 0.0000 0.1806 0.8194
176.0 0.0000 0.0000 0.0000 0.0000 0.1795 0.8205
177.0 0.0000 0.0000 0.0000 0.0000 0.1784 0.8216
178.0 0.0000 0.0000 0.0000 0.0000 0.1773 0.8227
179.0 0.0000 0.0000 0.0000 0.0000 0.1762 0.8238
180.0 0.0000 0.0000 0.0000 0.0000 0.1751 0.8249
181.0 0.0000 0.0000 0.0000 0.0000 0.1740 0.8260
182.0 0.0000 0.0000 0.0000 0.0000 0.1729 0.8271
183.0 0.0000 0.0000 0.0000 0.0000 0.1719 0.8281
184.0 0.0000 0.0000 0.0000 0.0000 0.1708 0.8292
185.0 0.0000 0.0000 0.0000 0.0000 0.1697 0.8303
186.0 0.0000 0.0000 0.0000 0.0000 0.1687 0.8313
187.0 0.0000 0.0000 0.0000 0.0000 0.1676 0.8324
188.0 0.0000 0.0000 0.0000 0.0000 0.1666 0.8334
189.0 0.0000 0.0000 0.0000 0.0000 0.1655 0.8345
190.0 0.0000 0.0000 0.0000 0.0000 0.1645 0.8355
191.0 0.0000 0.0000 0.0000 0.0000 0.1634 0.8366
192.0 0.0000 0.0000 0.0000 0.0000 0.1624 0.8376
193.0 0.0000 0.0000 0.0000 0.0000 0.1614 0.8386
194.0 0.0000 0.0000 0.0000 0.0000 0.1604 0.8396
195.0 0.0000 0.0000 0.0000 0.0000 0.1593 0.8407
196.0 0.0000 0.0000 0.0000 0.0000 0.1583 0.8417
197.0 0.0000 0.0000 0.0000 0.0000 0.1573 0.8427
198.0 0.0000 0.0000 0.0000 0.0000 0.1563 0.8437
199.0 0.0000 0.0000 0.0000 0.0000 0.1553 0.8447
200.0 0.0000 0.0000 0.0000 0.0000 0.1543 0.8457
201.0 0.0000 0.0000 0.0000 0.0000 0.1533 0.8467
202.0 0.0000 0.0000 0.0000 0.0000 0.1524 0.8476
203.0 0.0000 0.0000 0.0000 0.0000 0.1514 0.8486
204.0 0.0000 0.0000 0.0000 0.0000 0.1504 0.8496
205.0 0.0000 0.0000 0.0000 0.0000 0.1494 0.8506
206.0 0.0000 0.0000 0.0000 0.0000 0.1485 0.8515
207.0 0.0000 0.0000 0.0000 0.0000 0.1475 0.8525
208.0 0.0000 0.0000 0.0000 0.0000 0.1465 0.8535
209.0 0.0000 0.0000 0.0000 0.0000 0.1456 0.8544
210.0 0.0000 0.0000 0.0000 0.0000 0.1446 0.8554
211.0 0.0000 0.0000 0.0000 0.0000 0.1437 0.8563
212.0 0.0000 0.0000 0.0000 0.0000 0.1428 0.8572
213.0 0.0000 0.0000 0.0000 0.0000 0.1418 0.8582
214.0 0.0000 0.0000 0.0000 0.0000 0.1409 0.8591
215.0 0.0000 0.0000 0.0000 0.0000 0.1400 0.8600
