i r tft rl num fbm tom
132.0 0.0000 0.0000 0.0000 0.0002 0.4941 0.5057
133.0 0.0000 0.0000 0.0000 0.0002 0.4940 0.5058
134.0 0.0000 0.0000 0.0000 0.0002 0.4940 0.5059
135.0 0.0000 0.0000 0.0000 0.0002 0.4939 0.5059
136.0 0.0000 0.0000 0.0000 0.0002 0.4939 0.5060
137.0 0.0000 0.0000 0.0000 0.0001 0.4938 0.5060
138.0 0.0000 0.0000 0.0000 0.0001 0.4938 0.5061
139.0 0.0000 0.0000 0.0000 0.0001 0.4937 0.5062
140.0 0.0000 0.0000 0.0000 0.0001 0.4937 0.5062
141.0 0.0000 0.0000 0.0000 0.0001 0.4936 0.5063
142.0 0.0000 0.0000 0.0000 0.0001 0.4936 0.5063
143.0 0.0000 0.0000 0.0000 0.0001 0.4935 0.5064
144.0 0.0000 0.0000 0.0000 0.0001 0.4935 0.5065
145.0 0.0000 0.0000 0.0000 0.0001 0.4934 0.5065
146.0 0.0000 0.0000 0.0000 0.0001 0.4933 0.5066
147.0 0.0000 0.0000 0.0000 0.0001 0.4933 0.5066
148.0 0.0000 0.0000 0.0000 0.0001 0.4932 0.5067
149.0 0.0000 0.0000 0.0000 0.0001 0.4932 0.5067
150.0 0.0000 0.0000 0.0000 0.0001 0.4931 0.5068
151.0 0.0000 0.0000 0.0000 0.0001 0.4931 0.5069
152.0 0.0000 0.0000 0.0000 0.0001 0.4930 0.5069
153.0 0.0000 0.0000 0.0000 0.0001 0.4930 0.5070
154.0 0.0000 0.0000 0.0000 0.0001 0.4929 0.5070
155.0 0.0000 0.0000 0.0000 0.0001 0.4929 0.5071
156.0 0.0000 0.0000 0.0000 0.0000 0.4928 0.5071
157.0 0.0000 0.0000 0.0000 0.0000 0.4928 0.5072
158.0 0.0000 0.0000 0.0000 0.0000 0.4927 0.5072
159.0 0.0000 0.0000 0.0000 0.0000 0.4927 0.5073
160.0 0.0000 0.0000 0.0000 0.0000 0.4926 0.5074
161.0 0.0000 0.0000 0.0000 0.0000 0.4926 0.5074
162.0 0.0000 0.0000 0.0000 0.0000 0.4925 0.5075
163.0 0.0000 0.0000 0.0000 0.0000 0.4924 0.5075
164.0 0.0000 0.0000 0.0000 0.0000 0.4924 0.5076
165.0 0.0000 0.0000 0.0000 0.0000 0.4923 0.5076
166.0 0.0000 0.0000 0.0000 0.0000 0.4923 0.5077
167.0 0.0000 0.0000 0.0000 0.0000 0.4922 0.5077
168.0 0.0000 0.0000 0.0000 0.0000 0.4922 0.5078
169.0 0.0000 0.0000 0.0000 0.0000 0.4921 0.5079
170.0 0.0000 0.0000 0.0000 0.0000 0.4921 0.5079
171.0 0.0000 0.0000 0.0000 0.0000 0.4920 0.5080
172.0 0.0000 0.0000 0.0000 0.0000 0.4920 0.5080
173.0 0.0000 0.0000 0.0000 0.0000 0.4919 0.5081
174.0 0.0000 0.0000 0.0000 0.0000 0.4919 0.5081
