i r tft rl num fbm tom
145.0 0.0000 0.0000 0.9942 0.0000 0.0000 0.0058
146.0 0.0000 0.0000 0.9944 0.0000 0.0000 0.0056
147.0 0.0000 0.0000 0.9946 0.0000 0.0000 0.0054
148.0 0.0000 0.0000 0.9948 0.0000 0.0000 0.0052
149.0 0.0000 0.0000 0.9950 0.0000 0.0000 0.0050
150.0 0.0000 0.0000 0.9951 0.0000 0.0000 0.0048
151.0 0.0000 0.0000 0.9953 0.0000 0.0000 0.0047
152.0 0.0000 0.0000 0.9955 0.0000 0.0000 0.0045
153.0 0.0000 0.0000 0.9956 0.0000 0.0000 0.0044
154.0 0.0000 0.0000 0.9958 0.0000 0.0000 0.0042
155.0 0.0000 0.0000 0.9959 0.0000 0.0000 0.0041
156.0 0.0000 0.0000 0.9961 0.0000 0.0000 0.0039
157.0 0.0000 0.0000 0.9962 0.0000 0.0000 0.0038
158.0 0.0000 0.0000 0.9963 0.0000 0.0000 0.0037
159.0 0.0000 0.0000 0.9965 0.0000 0.0000 0.0035
160.0 0.0000 0.0000 0.9966 0.0000 0.0000 0.0034
161.0 0.0000 0.0000 0.9967 0.0000 0.0000 0.0033
162.0 0.0000 0.0000 0.9968 0.0000 0.0000 0.0032
163.0 0.0000 0.0000 0.9969 0.0000 0.0000 0.0031
164.0 0.0000 0.0000 0.9970 0.0000 0.0000 0.0030
165.0 0.0000 0.0000 0.9971 0.0000 0.0000 0.0029
166.0 0.0000 0.0000 0.9972 0.0000 0.0000 0.0028
167.0 0.0000 0.0000 0.9973 0.0000 0.0000 0.0027
168.0 0.0000 0.0000 0.9974 0.0000 0.0000 0.0026
169.0 0.0000 0.0000 0.9975 0.0000 0.0000 0.0025
170.0 0.0000 0.0000 0.9976 0.0000 0.0000 0.0024
171.0 0.0000 0.0000 0.9977 0.0000 0.0000 0.0023
172.0 0.0000 0.0000 0.9978 0.0000 0.0000 0.0022
173.0 0.0000 0.0000 0.9978 0.0000 0.0000 0.0022
174.0 0.0000 0.0000 0.9979 0.0000 0.0000 0.0021
175.0 0.0000 0.0000 0.9980 0.0000 0.0000 0.0020
176.0 0.0000 0.0000 0.9981 0.0000 0.0000 0.0019
177.0 0.0000 0.0000 0.9981 0.0000 0.0000 0.0019
178.0 0.0000 0.0000 0.9982 0.0000 0.0000 0.0018
179.0 0.0000 0.0000 0.9983 0.0000 0.0000 0.0017
180.0 0.0000 0.0000 0.9983 0.0000 0.0000 0.0017
181.0 0.0000 0.0000 0.9984 0.0000 0.0000 0.0016
182.0 0.0000 0.0000 0.9984 0.0000 0.0000 0.0016
183.0 0.0000 0.0000 0.9985 0.0000 0.0000 0.0015
184.0 0.0000 0.0000 0.9985 0.0000 0.0000 0.0015
