i r tft num fbm rl tom
130.0 0.0000 0.0000 0.0002 0.4353 0.1080 0.4566
131.0 0.0000 0.0000 0.0002 0.4356 0.1072 0.4570
132.0 0.0000 0.0000 0.0002 0.4359 0.1065 0.4575
133.0 0.0000 0.0000 0.0001 0.4361 0.1057 0.4580
134.0 0.0000 0.0000 0.0001 0.4364 0.1050 0.4584
135.0 0.0000 0.0000 0.0001 0.4367 0.1042 0.4589
136.0 0.0000 0.0000 0.0001 0.4370 0.1035 0.4594
137.0 0.0000 0.0000 0.0001 0.4373 0.1028 0.4598
138.0 0.0000 0.0000 0.0001 0.4376 0.1021 0.4603
139.0 0.0000 0.0000 0.0001 0.4378 0.1013 0.4607
140.0 0.0000 0.0000 0.0001 0.4381 0.1006 0.4612
141.0 0.0000 0.0000 0.0001 0.4384 0.0999 0.4616
142.0 0.0000 0.0000 0.0001 0.4386 0.0992 0.4621
143.0 0.0000 0.0000 0.0001 0.4389 0.0985 0.4625
144.0 0.0000 0.0000 0.0001 0.4392 0.0978 0.4629
145.0 0.0000 0.0000 0.0001 0.4394 0.0972 0.4634
146.0 0.0000 0.0000 0.0001 0.4397 0.0965 0.4638
147.0 0.0000 0.0000 0.0001 0.4399 0.0958 0.4642
148.0 0.0000 0.0000 0.0001 0.4402 0.0951 0.4646
149.0 0.0000 0.0000 0.0001 0.4404 0.0945 0.4651
150.0 0.0000 0.0000 0.0001 0.4406 0.0938 0.4655
151.0 0.0000 0.0000 0.0000 0.4409 0.0932 0.4659
152.0 0.0000 0.0000 0.0000 0.4411 0.0925 0.4663
153.0 0.0000 0.0000 0.0000 0.4413 0.0919 0.4667
154.0 0.0000 0.0000 0.0000 0.4416 0.0913 0.4671
155.0 0.0000 0.0000 0.0000 0.4418 0.0906 0.4675
156.0 0.0000 0.0000 0.0000 0.4420 0.0900 0.4679
157.0 0.0000 0.0000 0.0000 0.4423 0.0894 0.4683
158.0 0.0000 0.0000 0.0000 0.4425 0.0888 0.4687
159.0 0.0000 0.0000 0.0000 0.4427 0.0882 0.4691
160.0 0.0000 0.0000 0.0000 0.4429 0.0875 0.4695
161.0 0.0000 0.0000 0.0000 0.4431 0.0869 0.4699
162.0 0.0000 0.0000 0.0000 0.4433 0.0863 0.4703
163.0 0.0000 0.0000 0.0000 0.4435 0.0858 0.4707
164.0 0.0000 0.0000 0.0000 0.4437 0.0852 0.4711
165.0 0.0000 0.0000 0.0000 0.4440 0.0846 0.4714
166.0 0.0000 0.0000 0.0000 0.4442 0.0840 0.4718
167.0 0.0000 0.0000 0.0000 0.4444 0.0834 0.4722
168.0 0.0000 0.0000 0.0000 0.4446 0.0829 0.4726
169.0 0.0000 0.0000 0.0000 0.4447 0.0823 0.4729
170.0 0.0000 0.0000 0.0000 0.4449 0.0817 0.4733
171.0 0.0000 0.0000 0.0000 0.4451 0.0812 0.4737
172.0 0.0000 0.0000 0.0000 0.4453 0.0806 0.4740
173.0 0.0000 0.0000 0.0000 0.4455 0.0801 0.4744
174.0 0.0000 0.0000 0.0000 0.4457 0.0795 0.4748
175.0 0.0000 0.0000 0.0000 0.4459 0.0790 0.4751
176.0 0.0000 0.0000 0.0000 0.4461 0.0785 0.4755
177.0 0.0000 0.0000 0.0000 0.4462 0.0779 0.4758
178.0 0.0000 0.0000 0.0000 0.4464 0.0774 0.4762
179.0 0.0000 0.0000 0.0000 0.4466 0.0769 0.4765
180.0 0.0000 0.0000 0.0000 0.4468 0.0764 0.4769
181.0 0.0000 0.0000 0.0000 0.4469 0.0758 0.4772
182.0 0.0000 0.0000 0.0000 0.4471 0.0753 0.4776
183.0 0.0000 0.0000 0.0000 0.4473 0.0748 0.4779
184.0 0.0000 0.0000 0.0000 0.4474 0.0743 0.4782
185.0 0.0000 0.0000 0.0000 0.4476 0.0738 0.4786
186.0 0.0000 0.0000 0.0000 0.4477 0.0733 0.4789
187.0 0.0000 0.0000 0.0000 0.4479 0.0728 0.4793
188.0 0.0000 0.0000 0.0000 0.4481 0.0723 0.4796
189.0 0.0000 0.0000 0.0000 0.4482 0.0719 0.4799
190.0 0.0000 0.0000 0.0000 0.4484 0.0714 0.4802
191.0 0.0000 0.0000 0.0000 0.4485 0.0709 0.4806
192.0 0.0000 0.0000 0.0000 0.4487 0.0704 0.4809
193.0 0.0000 0.0000 0.0000 0.4488 0.0700 0.4812
194.0 0.0000 0.0000 0.0000 0.4490 0.0695 0.4815
195.0 0.0000 0.0000 0.0000 0.4491 0.0690 0.4819
196.0 0.0000 0.0000 0.0000 0.4492 0.0686 0.4822
197.0 0.0000 0.0000 0.0000 0.4494 0.0681 0.4825
198.0 0.0000 0.0000 0.0000 0.4495 0.0677 0.4828
199.0 0.0000 0.0000 0.0000 0.4497 0.0672 0.4831
200.0 0.0000 0.0000 0.0000 0.4498 0.0668 0.4834
201.0 0.0000 0.0000 0.0000 0.4499 0.0663 0.4837
202.0 0.0000 0.0000 0.0000 0.4501 0.0659 0.4841
203.0 0.0000 0.0000 0.0000 0.4502 0.0654 0.4844
204.0 0.0000 0.0000 0.0000 0.4503 0.0650 0.4847
205.0 0.0000 0.0000 0.0000 0.4505 0.0646 0.4850
206.0 0.0000 0.0000 0.0000 0.4506 0.0642 0.4853
207.0 0.0000 0.0000 0.0000 0.4507 0.0637 0.4856
208.0 0.0000 0.0000 0.0000 0.4508 0.0633 0.4859
209.0 0.0000 0.0000 0.0000 0.4510 0.0629 0.4862
210.0 0.0000 0.0000 0.0000 0.4511 0.0625 0.4865
211.0 0.0000 0.0000 0.0000 0.4512 0.0621 0.4867
212.0 0.0000 0.0000 0.0000 0.4513 0.0617 0.4870
213.0 0.0000 0.0000 0.0000 0.4514 0.0612 0.4873
214.0 0.0000 0.0000 0.0000 0.4515 0.0608 0.4876
215.0 0.0000 0.0000 0.0000 0.4516 0.0604 0.4879
216.0 0.0000 0.0000 0.0000 0.4518 0.0601 0.4882
217.0 0.0000 0.0000 0.0000 0.4519 0.0597 0.4885
218.0 0.0000 0.0000 0.0000 0.4520 0.0593 0.4888
219.0 0.0000 0.0000 0.0000 0.4521 0.0589 0.4890
220.0 0.0000 0.0000 0.0000 0.4522 0.0585 0.4893
221.0 0.0000 0.0000 0.0000 0.4523 0.0581 0.4896
222.0 0.0000 0.0000 0.0000 0.4524 0.0577 0.4899
223.0 0.0000 0.0000 0.0000 0.4525 0.0574 0.4901
224.0 0.0000 0.0000 0.0000 0.4526 0.0570 0.4904
225.0 0.0000 0.0000 0.0000 0.4527 0.0566 0.4907
226.0 0.0000 0.0000 0.0000 0.4528 0.0562 0.4910
227.0 0.0000 0.0000 0.0000 0.4529 0.0559 0.4912
228.0 0.0000 0.0000 0.0000 0.4530 0.0555 0.4915
229.0 0.0000 0.0000 0.0000 0.4531 0.0551 0.4918
230.0 0.0000 0.0000 0.0000 0.4532 0.0548 0.4920
231.0 0.0000 0.0000 0.0000 0.4533 0.0544 0.4923
232.0 0.0000 0.0000 0.0000 0.4534 0.0541 0.4926
233.0 0.0000 0.0000 0.0000 0.4534 0.0537 0.4928
234.0 0.0000 0.0000 0.0000 0.4535 0.0534 0.4931
235.0 0.0000 0.0000 0.0000 0.4536 0.0530 0.4933
236.0 0.0000 0.0000 0.0000 0.4537 0.0527 0.4936
237.0 0.0000 0.0000 0.0000 0.4538 0.0523 0.4939
238.0 0.0000 0.0000 0.0000 0.4539 0.0520 0.4941
239.0 0.0000 0.0000 0.0000 0.4540 0.0517 0.4944
240.0 0.0000 0.0000 0.0000 0.4540 0.0513 0.4946
241.0 0.0000 0.0000 0.0000 0.4541 0.0510 0.4949
242.0 0.0000 0.0000 0.0000 0.4542 0.0507 0.4951
243.0 0.0000 0.0000 0.0000 0.4543 0.0504 0.4954
244.0 0.0000 0.0000 0.0000 0.4543 0.0500 0.4956
245.0 0.0000 0.0000 0.0000 0.4544 0.0497 0.4959
246.0 0.0000 0.0000 0.0000 0.4545 0.0494 0.4961
247.0 0.0000 0.0000 0.0000 0.4546 0.0491 0.4964
248.0 0.0000 0.0000 0.0000 0.4546 0.0488 0.4966
249.0 0.0000 0.0000 0.0000 0.4547 0.0484 0.4969
