i r tft num fbm rl tom
147.0 0.0000 0.0008 0.3034 0.2989 0.1039 0.2930
148.0 0.0000 0.0008 0.3036 0.2991 0.1032 0.2932
149.0 0.0000 0.0008 0.3039 0.2994 0.1026 0.2934
150.0 0.0000 0.0007 0.3042 0.2996 0.1019 0.2936
151.0 0.0000 0.0007 0.3044 0.2998 0.1013 0.2938
152.0 0.0000 0.0007 0.3046 0.3000 0.1006 0.2940
153.0 0.0000 0.0007 0.3049 0.3002 0.1000 0.2942
154.0 0.0000 0.0006 0.3051 0.3005 0.0994 0.2944
155.0 0.0000 0.0006 0.3054 0.3007 0.0987 0.2946
156.0 0.0000 0.0006 0.3056 0.3009 0.0981 0.2948
157.0 0.0000 0.0006 0.3059 0.3011 0.0975 0.2950
158.0 0.0000 0.0005 0.3061 0.3013 0.0969 0.2952
159.0 0.0000 0.0005 0.3063 0.3015 0.0962 0.2954
160.0 0.0000 0.0005 0.3066 0.3017 0.0956 0.2956
161.0 0.0000 0.0005 0.3068 0.3019 0.0950 0.2958
162.0 0.0000 0.0005 0.3070 0.3021 0.0944 0.2960
163.0 0.0000 0.0004 0.3073 0.3023 0.0938 0.2961
164.0 0.0000 0.0004 0.3075 0.3025 0.0932 0.2963
165.0 0.0000 0.0004 0.3077 0.3027 0.0926 0.2965
166.0 0.0000 0.0004 0.3079 0.3029 0.0920 0.2967
167.0 0.0000 0.0004 0.3082 0.3031 0.0914 0.2969
168.0 0.0000 0.0004 0.3084 0.3033 0.0909 0.2971
169.0 0.0000 0.0004 0.3086 0.3035 0.0903 0.2972
170.0 0.0000 0.0003 0.3088 0.3037 0.0897 0.2974
171.0 0.0000 0.0003 0.3090 0.3039 0.0891 0.2976
172.0 0.0000 0.0003 0.3092 0.3041 0.0885 0.2978
173.0 0.0000 0.0003 0.3095 0.3043 0.0880 0.2980
174.0 0.0000 0.0003 0.3097 0.3045 0.0874 0.2981
175.0 0.0000 0.0003 0.3099 0.3047 0.0869 0.2983
176.0 0.0000 0.0003 0.3101 0.3049 0.0863 0.2985
177.0 0.0000 0.0003 0.3103 0.3051 0.0857 0.2986
178.0 0.0000 0.0002 0.3105 0.3052 0.0852 0.2988
179.0 0.0000 0.0002 0.3107 0.3054 0.0846 0.2990
180.0 0.0000 0.0002 0.3109 0.3056 0.0841 0.2991
181.0 0.0000 0.0002 0.3111 0.3058 0.0835 0.2993
182.0 0.0000 0.0002 0.3113 0.3060 0.0830 0.2995
183.0 0.0000 0.0002 0.3115 0.3061 0.0825 0.2996
184.0 0.0000 0.0002 0.3117 0.3063 0.0819 0.2998
185.0 0.0000 0.0002 0.3119 0.3065 0.0814 0.3000
186.0 0.0000 0.0002 0.3121 0.3067 0.0809 0.3001
187.0 0.0000 0.0002 0.3123 0.3068 0.0804 0.3003
188.0 0.0000 0.0002 0.3125 0.3070 0.0798 0.3004
189.0 0.0000 0.0002 0.3127 0.3072 0.0793 0.3006
190.0 0.0000 0.0002 0.3129 0.3074 0.0788 0.3008
191.0 0.0000 0.0001 0.3131 0.3075 0.0783 0.3009
192.0 0.0000 0.0001 0.3133 0.3077 0.0778 0.3011
193.0 0.0000 0.0001 0.3135 0.3079 0.0773 0.3012
194.0 0.0000 0.0001 0.3137 0.3080 0.0768 0.3014
