i r tft num fbm rl tom
130.0 0.0000 0.0000 0.0000 0.0000 0.9808 0.0192
131.0 0.0000 0.0000 0.0000 0.0000 0.9813 0.0187
132.0 0.0000 0.0000 0.0000 0.0000 0.9818 0.0182
133.0 0.0000 0.0000 0.0000 0.0000 0.9823 0.0177
134.0 0.0000 0.0000 0.0000 0.0000 0.9828 0.0172
135.0 0.0000 0.0000 0.0000 0.0000 0.9833 0.0167
136.0 0.0000 0.0000 0.0000 0.0000 0.9837 0.0163
137.0 0.0000 0.0000 0.0000 0.0000 0.9842 0.0158
138.0 0.0000 0.0000 0.0000 0.0000 0.9846 0.0154
139.0 0.0000 0.0000 0.0000 0.0000 0.9850 0.0150
140.0 0.0000 0.0000 0.0000 0.0000 0.9854 0.0146
141.0 0.0000 0.0000 0.0000 0.0000 0.9858 0.0142
142.0 0.0000 0.0000 0.0000 0.0000 0.9862 0.0138
143.0 0.0000 0.0000 0.0000 0.0000 0.9866 0.0134
144.0 0.0000 0.0000 0.0000 0.0000 0.9870 0.0130
145.0 0.0000 0.0000 0.0000 0.0000 0.9873 0.0127
146.0 0.0000 0.0000 0.0000 0.0000 0.9877 0.0123
147.0 0.0000 0.0000 0.0000 0.0000 0.9880 0.0120
148.0 0.0000 0.0000 0.0000 0.0000 0.9883 0.0117
149.0 0.0000 0.0000 0.0000 0.0000 0.9887 0.0113
150.0 0.0000 0.0000 0.0000 0.0000 0.9890 0.0110
151.0 0.0000 0.0000 0.0000 0.0000 0.9893 0.0107
152.0 0.0000 0.0000 0.0000 0.0000 0.9896 0.0104
153.0 0.0000 0.0000 0.0000 0.0000 0.9898 0.0102
154.0 0.0000 0.0000 0.0000 0.0000 0.9901 0.0099
155.0 0.0000 0.0000 0.0000 0.0000 0.9904 0.0096
156.0 0.0000 0.0000 0.0000 0.0000 0.9907 0.0093
157.0 0.0000 0.0000 0.0000 0.0000 0.9909 0.0091
158.0 0.0000 0.0000 0.0000 0.0000 0.9912 0.0088
159.0 0.0000 0.0000 0.0000 0.0000 0.9914 0.0086
160.0 0.0000 0.0000 0.0000 0.0000 0.9916 0.0084
161.0 0.0000 0.0000 0.0000 0.0000 0.9919 0.0081
162.0 0.0000 0.0000 0.0000 0.0000 0.9921 0.0079
163.0 0.0000 0.0000 0.0000 0.0000 0.9923 0.0077
164.0 0.0000 0.0000 0.0000 0.0000 0.9925 0.0075
165.0 0.0000 0.0000 0.0000 0.0000 0.9927 0.0073
166.0 0.0000 0.0000 0.0000 0.0000 0.9929 0.0071
167.0 0.0000 0.0000 0.0000 0.0000 0.9931 0.0069
168.0 0.0000 0.0000 0.0000 0.0000 0.9933 0.0067
169.0 0.0000 0.0000 0.0000 0.0000 0.9935 0.0065
170.0 0.0000 0.0000 0.0000 0.0000 0.9937 0.0063
171.0 0.0000 0.0000 0.0000 0.0000 0.9938 0.0062
172.0 0.0000 0.0000 0.0000 0.0000 0.9940 0.0060
173.0 0.0000 0.0000 0.0000 0.0000 0.9942 0.0058
174.0 0.0000 0.0000 0.0000 0.0000 0.9943 0.0057
